Module	Gene1	Gene2
M3	SNX17	SLC13A5
M3	ZNF202	RIMBP2
M3	SOX9	RGS8
M3	RMND5B	TRHDE
M3	RMND5B	MPPED1
M3	RMND5B	RIMBP2
M3	KCNC2	MORF4L2
M3	KCNC2	HAS3
M3	KCNC2	SPRY1
M3	KCNC2	RFX5
M3	KCNC2	HRAS
M3	KCNC2	SNED1
M3	KCNC2	CALB1
M3	KCNC2	RHEB
M3	KCNC2	ZNF131
M3	KCNC2	NPM3
M3	KCNC2	DPYSL3
M3	KCNC2	IGFALS
M3	KCNC2	VPS28
M3	KCNC2	TCF24
M3	KCNC2	FBL
M3	KCNC2	BCAM
M3	KCNC2	YTHDC1
M3	KCNC2	TDRD7
M3	KCNC2	SON
M3	KCNC2	MRPS25
M3	KCNC2	IVNS1ABP
M3	ANAPC15	GRM1
M3	HMCES	CLEC2L
M3	FOXO1	CAMK2A
M3	IKZF2	CDK5R2
M3	HAND1	HCN1
M3	TNFRSF11B	CACNG2
M3	TNFRSF11B	RSPO4
M3	TOR3A	KIRREL3
M3	PGF	DRD1
M3	PGF	CDK5R2
M3	SPTB	C19orf25
M3	SPTB	CSRP3
M3	SPTB	PTP4A1
M3	SPTB	CSPG4
M3	SPTB	IL1RAP
M3	SPTB	COX6A1
M3	SPTB	FOLR3
M3	SPTB	TSGA10
M3	SPTB	MEX3C
M3	SPTB	ZBTB20
M3	SPTB	POLR2J
M3	SPTB	AMBRA1
M3	WWC2	MPPED1
M3	WWC2	PCDHA1
M3	DDX24	CAMK2A
M3	DDX24	MPPED1
M3	DDX24	GRM7
M3	CCNK	CELF3
M3	NPY1R	MAL2
M3	NPY1R	CAMK2A
M3	NPY1R	MPPED1
M3	NPY1R	ELAVL2
M3	NPY1R	PCDHA6
M3	STMN4	TRAPPC10
M3	STMN4	PID1
M3	STMN4	ZNHIT3
M3	STMN4	CCNB2
M3	STMN4	ADRB2
M3	STMN4	PTP4A1
M3	STMN4	MATK
M3	STMN4	UTY
M3	STMN4	PCNT
M3	STMN4	ZNF804A
M3	STMN4	CEP192
M3	STMN4	TAGLN2
M3	STMN4	DNAJC16
M3	STMN4	RPS27A
M3	STMN4	SCAMP3
M3	STMN4	TCEANC
M3	STMN4	FUNDC2
M3	STMN4	LYPD6B
M3	STMN4	NNMT
M3	TRPC5	SLC12A2
M3	TRPC5	FGF19
M3	TRPC5	TSNAX
M3	TRPC5	IL3
M3	TRPC5	MYO16
M3	TRPC5	BCAP29
M3	TRPC5	PRF1
M3	TRPC5	CSRP3
M3	TRPC5	CTBS
M3	TRPC5	CASP8
M3	TRPC5	PTP4A1
M3	TRPC5	PRKAB2
M3	TRPC5	NEIL1
M3	TRPC5	BHLHB9
M3	TRPC5	RAB5B
M3	TRPC5	MIA3
M3	TRPC5	DDR1
M3	TRPC5	VASP
M3	TRPC5	KDM3A
M3	TRPC5	C8orf34
M3	TRPC5	HDAC4
M3	TRPC5	C2orf57
M3	ST13	TCEAL6
M3	ST13	SHANK1
M3	RPS13	GRIN1
M3	RPS13	ASIC2
M3	PCGF3	VSNL1
M3	GSK3B	DLGAP2
M3	TCEAL2	KLC2
M3	TCEAL2	PTP4A1
M3	TCEAL2	DNAJC16
M3	TCEAL2	FUNDC2
M3	TCEAL2	SERPIND1
M3	TCEAL2	STX16
M3	TCEAL2	C9orf50
M3	TCEAL2	GRB14
M3	TCEAL2	TRMT10A
M3	TCEAL2	PAQR7
M3	TCEAL2	MED20
M3	TCEAL2	SWI5
M3	TCEAL2	LRP5L
M3	TCEAL2	NAMPT
M3	WIPF2	CAMK2A
M3	NUDT19	HRH3
M3	NUDT19	PTPRN
M3	NUDT19	MPPED1
M3	NUDT19	CBLN4
M3	TRIM40	DLGAP2
M3	SPHK1	SNAP25
M3	SLIT3	PPP4R4
M3	ARHGEF11	CBLN1
M3	TMEM132D	LCN2
M3	TMEM132D	PSMC3IP
M3	TMEM132D	FAS
M3	TMEM132D	POLR1D
M3	TMEM132D	UBE2Q1
M3	TMEM132D	PTP4A1
M3	TMEM132D	FILIP1
M3	TMEM132D	NUDT7
M3	TMEM132D	GPAA1
M3	TMEM132D	FBXW11
M3	TMEM132D	TRPS1
M3	TMEM132D	VAT1
M3	TMEM132D	MLYCD
M3	WDR7	RIMBP2
M3	EID2B	CAMK2A
M3	PEBP1	LRRC7
M3	TOP1MT	RIMBP2
M3	TOP1MT	RSPO4
M3	PRKAR1A	SULT4A1
M3	ATP8A2	MNT
M3	ATP8A2	ITGA8
M3	ATP8A2	PPP2R3B
M3	ATP8A2	PTP4A1
M3	ATP8A2	LSAMP
M3	ATP8A2	SIRT2
M3	ATP8A2	FOLR3
M3	ATP8A2	LPA
M3	ATP8A2	TMEM19
M3	ATP8A2	FAM200A
M3	ATP8A2	GRIA1
M3	ATP8A2	BSND
M3	ATP8A2	CARTPT
M3	MRAS	RSPO4
M3	AUP1	PCSK2
M3	DRAP1	SV2B
M3	DRAP1	CBLN1
M3	DRAP1	ELAVL2
M3	LACRT	RIMS1
M3	RNF144A	DLGAP2
M3	COPS7A	CAMK2A
M3	COPS7A	ELAVL2
M3	VPS37B	HCN1
M3	VPS37B	MPPED1
M3	VPS37B	PDYN
M3	CACNG2	PTP4A1
M3	CACNG2	CS
M3	CACNG2	GABRB2
M3	CACNG2	EPHB6
M3	CACNG2	KLF3
M3	CACNG2	NEUROG1
M3	CACNG2	PHGDH
M3	CACNG2	AP2B1
M3	CACNG2	TSEN54
M3	CACNG2	ABL2
M3	CACNG2	TOX3
M3	CACNG2	LOXL3
M3	CACNG2	TNFSF13
M3	CACNG2	CRNKL1
M3	CACNG2	FYTTD1
M3	CACNG2	MAPK4
M3	CACNG2	EGLN1
M3	CACNG2	LARP4B
M3	CACNG2	PLAGL1
M3	CACNG2	C19orf43
M3	CACNG2	SEPT5
M3	CACNG2	SNX11
M3	CACNG2	KDM6B
M3	CACNG2	MYH3
M3	CACNG2	PCGF1
M3	CACNG2	TIMM13
M3	CACNG2	B3GNT5
M3	CACNG2	PNMA6A
M3	CACNG2	SUPV3L1
M3	GABRA1	SCARA3
M3	GABRA1	TNR
M3	GABRA1	PRKCZ
M3	GABRA1	IL2RB
M3	GABRA1	TOP2B
M3	GABRA1	RNF126
M3	GABRA1	TBC1D20
M3	GABRA1	MADD
M3	GABRA1	CCDC124
M3	GABRA1	IGSF1
M3	GABRA1	ADAM15
M3	GABRA1	KDM4C
M3	MSH2	RSPO4
M3	VSNL1	OSBPL1A
M3	VSNL1	EFNA1
M3	VSNL1	PTP4A1
M3	VSNL1	VPS16
M3	VSNL1	YES1
M3	VSNL1	SPAG1
M3	GUCY2D	RSPO4
M3	NRGN	KAT8
M3	NRGN	SRSF9
M3	NRGN	IGFALS
M3	NRGN	PTP4A1
M3	NRGN	CRELD2
M3	NRGN	PLA2G4D
M3	NRGN	CLIC6
M3	NRGN	PIN1
M3	NRGN	INPPL1
M3	NRGN	CREB3L3
M3	MORF4L2	SHANK1
M3	OSBPL1A	SLC7A14
M3	OSBPL1A	MPPED1
M3	ATG16L2	MPPED1
M3	ATG16L2	RIMBP2
M3	MATR3	HRH3
M3	MATR3	PIP5K1B
M3	MATR3	NOS1
M3	FRMPD4	CHERP
M3	FRMPD4	TGFB1I1
M3	FRMPD4	MAFK
M3	FRMPD4	KPNA3
M3	FRMPD4	CDKN2A
M3	FRMPD4	WDR12
M3	FRMPD4	PLP2
M3	FRMPD4	PTP4A1
M3	FRMPD4	CPSF6
M3	FRMPD4	SPC24
M3	FRMPD4	IVL
M3	FRMPD4	DYNC2H1
M3	FRMPD4	NOLC1
M3	FRMPD4	H3F3A
M3	FRMPD4	PTN
M3	FRMPD4	S100A13
M3	FRMPD4	RRP1B
M3	FRMPD4	MSN
M3	FRMPD4	F8A1
M3	FRMPD4	RUSC1
M3	FRMPD4	RNF151
M3	FRMPD4	BACH2
M3	FRMPD4	GRK4
M3	FRMPD4	AHCY
M3	FRMPD4	RLF
M3	FRMPD4	TNR
M3	FRMPD4	SPSB4
M3	FRMPD4	KIF26B
M3	FRMPD4	BDNF
M3	FRMPD4	NLRP4
M3	FRMPD4	VPS54
M3	FRMPD4	SOCS6
M3	FRMPD4	ADRB1
M3	FRMPD4	GPAA1
M3	FRMPD4	FAM189B
M3	FRMPD4	POLR3H
M3	FRMPD4	NR1H4
M3	FRMPD4	MRPS25
M3	FRMPD4	SLC25A4
M3	FRMPD4	LYL1
M3	FRMPD4	CACNA1C
M3	FRMPD4	TGDS
M3	FRMPD4	PAEP
M3	FRMPD4	SMCP
M3	TERF2	HCN1
M3	NNAT	TIPIN
M3	NNAT	SLC31A1
M3	NNAT	MPPED1
M3	NNAT	PTP4A1
M3	NNAT	ANXA11
M3	NNAT	DCBLD1
M3	NNAT	RGS5
M3	NNAT	FAM189B
M3	NNAT	ATP9A
M3	NNAT	PHYKPL
M3	NNAT	EPS8L2
M3	NNAT	NDUFAF7
M3	NNAT	SAP18
M3	NNAT	DHRS13
M3	NNAT	ALX4
M3	NNAT	MLLT11
M3	NNAT	IGSF9
M3	NNAT	RPP30
M3	HIST1H4B	CDK5R2
M3	ANKRD13C	CDK5R2
M3	HAPLN1	RSPO4
M3	RIMS1	KLC2
M3	RIMS1	TBC1D4
M3	RIMS1	ZNRF3
M3	RIMS1	FOLR3
M3	RIMS1	RUNX1T1
M3	RIMS1	MAPK4
M3	RIMS1	HERC2
M3	RIMS1	UQCRC2
M3	RIMS1	RHOD
M3	RIMS1	MICALL2
M3	RIMS1	MYL3
M3	RIMS1	GNA13
M3	RIMS1	PDRG1
M3	RIMS1	CPSF4
M3	RIMS1	SLC7A5
M3	RIMS1	TENC1
M3	RIMS1	ID4
M3	RIMS1	CAV1
M3	RIMS1	ARNTL2
M3	RIMS1	CDH11
M3	RIMS1	IL22RA1
M3	RIMS1	C19orf43
M3	RIMS1	C8A
M3	RIMS1	RPL36AL
M3	RIMS1	POLR2L
M3	RIMS1	BRIX1
M3	RIMS1	SEL1L2
M3	RIMS1	CALCOCO2
M3	RIMS1	RAB11B
M3	RIMS1	TMEM134
M3	RIMS1	STARD7
M3	RIMS1	CFL2
M3	RIMS1	EXOC8
M3	RIMS1	RBM41
M3	RIMS1	SYNJ2
M3	RIMS1	ZBTB7A
M3	RIMS1	TIAM2
M3	RIMS1	IK
M3	RIMS1	GALNS
M3	OSBPL5	CBLN1
M3	RPL23	CBLN1
M3	ADORA1	HCN1
M3	ADORA1	CBLN1
M3	CBX7	GRIN1
M3	RFX4	RSPO4
M3	CNTNAP2	RPLP1
M3	CNTNAP2	RAB5B
M3	CNTNAP2	C19orf43
M3	HIST1H4G	CAMK2A
M3	CPLX2	INPP5K
M3	CPLX2	LRPPRC
M3	CPLX2	HIST1H1T
M3	CPLX2	MYOF
M3	CPLX2	SAFB
M3	CPLX2	CACNG4
M3	CPLX2	USP15
M3	CPLX2	ERO1L
M3	CPLX2	GNL2
M3	CPLX2	FNIP1
M3	CPLX2	NDUFS1
M3	CPLX2	RPL10L
M3	CPLX2	GNL1
M3	CPLX2	SH3RF3
M3	CPLX2	SOX13
M3	CPLX2	PCNP
M3	CPLX2	ATP1A1
M3	CPLX2	RFWD2
M3	CPLX2	PSME3
M3	CPLX2	STX12
M3	CPLX2	SIGLEC8
M3	CPLX2	SHPRH
M3	CPLX2	KCNE2
M3	CPLX2	WBP5
M3	CPLX2	EIF4ENIF1
M3	CPLX2	DCAF15
M3	CPLX2	HAO2
M3	CPLX2	TDGF1
M3	CPLX2	GTF2B
M3	CPLX2	MC1R
M3	CPLX2	BCAR3
M3	CPLX2	ATP6AP1
M3	CPLX2	PPP6R3
M3	CPLX2	TRHDE
M3	CPLX2	ZFP91
M3	CPLX2	PELI1
M3	CPLX2	DHDDS
M3	CPLX2	MICALL1
M3	CPLX2	ANKRD54
M3	CPLX2	GFAP
M3	CPLX2	ADARB1
M3	CPLX2	GRM5
M3	CPLX2	SARM1
M3	CPLX2	DMPK
