Module	Gene1	Gene2
M3	HRH3	ANG
M3	HRH3	MYOZ3
M3	HRH3	EIF3I
M3	HRH3	XPO6
M3	HRH3	HFE
M3	HRH3	TIAL1
M3	HRH3	CDC14A
M3	HRH3	HMGN1
M3	HRH3	CABP4
M3	HRH3	TWSG1
M3	HRH3	NSFL1C
M3	HRH3	TNR
M3	HRH3	SORCS3
M3	HRH3	POLR2J
M3	HRH3	TNFSF13
M3	HRH3	EGLN1
M3	HRH3	PHYKPL
M3	HRH3	MYL3
M3	HRH3	GNA13
M3	HRH3	SLC7A5
M3	HRH3	TENC1
M3	HRH3	CAV1
M3	HRH3	LENG8
M3	HRH3	EPS8L2
M3	HRH3	GBF1
M3	HRH3	ZNF44
M3	HRH3	CEP70
M3	HRH3	MYO1G
M3	HRH3	ITGAM
M3	HRH3	ABCA2
M3	HRH3	TPO
M3	HRH3	FBN2
M3	HRH3	SLAMF7
M3	HRH3	CYP4F3
M3	HRH3	ARNTL2
M3	HRH3	ARC
M3	HRH3	FSIP1
M3	HRH3	KRT27
M3	HRH3	BOD1L1
M3	HRH3	LLPH
M3	HRH3	BHLHA15
M3	HRH3	GCG
M3	HRH3	SMR3B
M3	HRH3	CAMK1D
M3	HRH3	SPECC1
M3	HRH3	NDUFS2
M3	HRH3	NUBPL
M3	HRH3	ZNF74
M3	HRH3	SOD1
M3	HRH3	USMG5
M3	HRH3	CNNM2
M3	HRH3	TNFRSF10C
M3	HRH3	HSCB
M3	HRH3	ZNF57
M3	HRH3	NOC2L
M3	HRH3	HLA-A
M3	HRH3	TBCE
M3	HRH3	COMMD6
M3	HRH3	PHF11
M3	HRH3	KATNB1
M3	HRH3	COPZ2
M3	HRH3	RASIP1
M3	HRH3	BCAN
M3	HRH3	NME6
M3	HRH3	MTM1
M3	HRH3	C6orf25
M3	HRH3	FTL
M3	HRH3	CDH11
M3	HRH3	IL22RA1
M3	HRH3	CARD11
M3	HRH3	ARPC2
M3	HRH3	CSNK1G3
M3	HRH3	ZDHHC6
M3	HRH3	CMYA5
M3	HRH3	SMOC2
M3	HRH3	RXRG
M3	HRH3	FXYD1
M3	HRH3	MMP1
M3	HRH3	EGF
M3	HRH3	SPOCK2
M3	HRH3	MDFIC
M3	HRH3	TRAPPC8
M3	HRH3	UBXN11
M3	HRH3	FAM160A2
M3	HRH3	PRKD3
M3	HRH3	SYT9
M3	HRH3	SALL2
M3	HRH3	EEF1G
M3	HRH3	IFNGR2
M3	HRH3	LRRC4
M3	HRH3	RPS6KA4
M3	HRH3	CFC1
M3	HRH3	LATS2
M3	HRH3	TOPAZ1
M3	HRH3	PCDH7
M3	HRH3	ULK3
M3	HRH3	CACNA1H
M3	HRH3	S1PR5
M3	HRH3	MRPS6
M3	HRH3	ACADS
M3	HRH3	RBM47
M3	HRH3	DEFB103A
M3	HRH3	ATHL1
M3	HRH3	SELO
M3	HRH3	ORC1
M3	HRH3	MIS12
M3	HRH3	MAP7D1
M3	HRH3	HIST1H4E
M3	HRH3	PARD6G
M3	HRH3	HNRNPA1
M3	HRH3	TANGO2
M3	HRH3	ICAM2
M3	HRH3	DDX23
M3	HRH3	IRAK4
M3	HRH3	TOR1AIP1
M3	HRH3	MOG
M3	HRH3	ZNF665
M3	HRH3	ZCCHC12
M3	HRH3	C1D
M3	HRH3	TENM1
M3	HRH3	ZNF76
M3	HRH3	RICTOR
M3	HRH3	SSBP1
M3	HRH3	IGF1
M3	HRH3	FOLH1
M3	HRH3	EMCN
M3	HRH3	KCTD11
M3	HRH3	NRTN
M3	HRH3	BCL9
M3	HRH3	MBL2
M3	HRH3	SLC27A6
M3	HRH3	RAPSN
M3	HRH3	RPS3A
M3	HRH3	FMR1
M3	HRH3	PCDHB11
M3	HRH3	INVS
M3	HRH3	NARS2
M3	HRH3	TFCP2
M3	HRH3	ARHGAP6
M3	HRH3	FCRL3
M3	HRH3	ZBTB12
M3	HRH3	SERINC2
M3	HRH3	RRP36
M3	HRH3	HAT1
M3	HRH3	LRRC49
M3	HRH3	MAP3K3
M3	HRH3	STX7
M3	HRH3	LYVE1
M3	HRH3	LOXL4
M3	HRH3	NLN
M3	HRH3	PPIH
M3	HRH3	HOXA9
M3	HRH3	LGALS2
M3	HRH3	SLC40A1
M3	HRH3	TRIM68
M3	HRH3	C1QTNF9
M3	HRH3	ZNF426
M3	HRH3	SHISA5
M3	HRH3	ANAPC1
M3	HRH3	STX3
M3	HRH3	CDC7
M3	HRH3	POT1
M3	HRH3	RAB15
M3	HRH3	KCNN3
M3	HRH3	TRIT1
M3	HRH3	ADRM1
M3	HRH3	PAGE2
M3	HRH3	CDH18
M3	HRH3	FICD
M3	HRH3	TNNI3K
M3	HRH3	CCT8
M3	HRH3	BBS1
M3	HRH3	PRMT7
M3	HRH3	TPSAB1
M3	HRH3	B4GALT3
M3	HRH3	FAM171A2
M3	HRH3	RPL13
M3	HRH3	TUBGCP4
M3	HRH3	AK4
M3	HRH3	PI4KA
M3	HRH3	SNIP1
M3	HRH3	DHRS12
M3	HRH3	ODF4
M3	HRH3	ZNF609
M3	HRH3	KCTD4
M3	HRH3	ST3GAL4
M3	HRH3	KRT17
M3	HRH3	LYPD3
M3	HRH3	ATP8B1
M3	HRH3	DHRS13
M3	HRH3	ERP27
M3	HRH3	PTH
M3	HRH3	SMC6
M3	HRH3	GIT2
M3	HRH3	DZIP1L
M3	HRH3	MZT1
M3	HRH3	UACA
M3	HRH3	NME4
M3	HRH3	LYN
M3	HRH3	A4GALT
M3	HRH3	RCBTB1
M3	HRH3	ATP5J
M3	HRH3	IL5RA
M3	HRH3	ZHX1-C8ORF76
M3	HRH3	YOD1
M3	HRH3	CPVL
M3	HRH3	PHC2
M3	HRH3	NRCAM
M3	HRH3	HECW1
M3	HRH3	ACIN1
M3	DMC1	CELF3
M3	PDK2	CDH7
M3	PDK2	PCDHA1
M3	MTF2	RSPO4
M3	SLC26A9	EPHA5
M3	SNCG	SPHKAP
M3	MMP3	MPPED1
M3	MMP3	DDN
M3	RBP4	RBCK1
M3	RBP4	PTP4A1
M3	RBP4	PARP3
M3	RBP4	SORBS2
M3	RBP4	ZNF383
M3	RBP4	LATS1
M3	RBP4	KRT9
M3	GNA12	CDH7
M3	GNA12	RSPO4
M3	PRKDC	PCSK2
M3	UBE2E2	CDK5R2
M3	JPH3	NES
M3	JPH3	KLHDC9
M3	JPH3	LRRC4C
M3	JPH3	ALDH1A3
M3	JPH3	ZNF518A
M3	JPH3	EEF1G
M3	JPH3	EIF3L
M3	JPH3	ANKRD1
M3	JPH3	PSMG4
M3	JPH3	APOD
M3	AKAP11	SULT4A1
M3	AKAP11	PCDH8
M3	ABCD3	CDH7
M3	ABCD3	MPPED1
M3	GAD2	PTP4A1
M3	GAD2	POF1B
M3	GAD2	MAP4K4
M3	GAD2	BHLHE41
M3	GAD2	KIAA0319
M3	GAD2	TACC1
M3	GAD2	AQP1
M3	GAD2	HDHD3
M3	GAD2	G2E3
M3	GAD2	DNAJC22
M3	GAD2	MED20
M3	GAD2	GPR142
M3	GAD2	REEP4
M3	GAD2	IGHMBP2
M3	GAD2	RNF187
M3	RNF103	CDH7
M3	RNF103	SH3GL2
M3	CYP2E1	EXOC4
M3	CYP2E1	C8orf34
M3	CYP2E1	IL22RA1
M3	CYP2E1	C6orf136
M3	CYP2E1	AOX1
M3	CYP2E1	KAT5
M3	CYP2E1	MFN1
M3	CYP2E1	GNB2
M3	CYP2E1	FAM19A4
M3	MSI2	CDH7
M3	SERPINB9	PCDHA1
M3	MYCBP2	GABRA4
M3	PDE4DIP	EPHA5
M3	GLIS3	PCP4L1
M3	GFRA2	NOS3
M3	GFRA2	GABRG2
M3	GFRA2	PRELP
M3	GFRA2	DVL3
M3	GFRA2	EYA2
M3	GFRA2	CSF2
M3	GFRA2	CDK19
M3	GFRA2	FBXO22
M3	GFRA2	ACAD11
M3	GFRA2	HIST1H3J
M3	GFRA2	PPP2R3B
M3	GFRA2	MYO5A
M3	GFRA2	PTP4A1
M3	GFRA2	ATPAF1
M3	GFRA2	SMC4
M3	GFRA2	UVRAG
M3	GFRA2	HMGCR
M3	GFRA2	HOMER1
M3	GFRA2	SGMS1
M3	GFRA2	NAT10
M3	GFRA2	SUN1
M3	GFRA2	HSPA2
M3	GFRA2	PTPN13
M3	GFRA2	IKBKAP
M3	GFRA2	SPESP1
M3	GFRA2	SPATA7
M3	GFRA2	RPS6KA4
M3	GFRA2	PPFIA4
M3	GFRA2	CPN1
M3	GFRA2	DEFB103A
M3	GFRA2	EXOC2
M3	GFRA2	PSMD1
M3	GFRA2	KLHL25
M3	GFRA2	GCK
M3	GFRA2	ZRANB2
M3	GFRA2	KANSL1
M3	GFRA2	LILRB2
M3	GFRA2	ABCC3
M3	GFRA2	SLC5A3
M3	GFRA2	BRI3BP
M3	GFRA2	SLC1A2
M3	PCDHB10	PTPRN
M3	PCDHB10	MPPED1
M3	PCDHB10	SH3GL2
M3	TNNT1	CLCN3
M3	TNNT1	ADRB2
M3	TNNT1	GALC
M3	TNNT1	SLC31A1
M3	TNNT1	RPL11
M3	TNNT1	KLK6
M3	TNNT1	IFT81
M3	TNNT1	ZDHHC17
M3	MOB1A	CBLN1
M3	KSR2	CHMP2A
M3	KSR2	JUP
M3	KSR2	INO80
M3	KSR2	BTBD3
M3	KSR2	KLC2
M3	KSR2	RIMS4
M3	KSR2	SKI
M3	KSR2	KIF20A
M3	KSR2	ACKR3
M3	KSR2	MYO16
M3	KSR2	HPRT1
M3	KSR2	FAIM2
M3	KSR2	SEMG1
M3	KSR2	SEL1L
M3	KSR2	ADRB2
M3	KSR2	BCAP29
M3	KSR2	SLC1A1
M3	KSR2	KLHDC9
M3	KSR2	PRF1
M3	KSR2	VPS28
M3	KSR2	CSRP3
M3	KSR2	CTBS
M3	KSR2	MPZL1
M3	KSR2	MPPED1
M3	KSR2	CASP8
M3	KSR2	PTP4A1
M3	KSR2	RANBP1
M3	KSR2	PRKAB2
M3	KSR2	RINT1
M3	KSR2	NEIL1
M3	KSR2	RAB5B
M3	KSR2	IVL
M3	KSR2	APBB1IP
M3	KSR2	KDM3A
M3	KSR2	XK
M3	KSR2	GMFB
M3	KSR2	FOLR3
M3	KSR2	ARL13A
M3	KSR2	KIFC1
M3	KSR2	PAEP
M3	KSR2	AK7
M3	KSR2	KDELC2
M3	KSR2	ATMIN
M3	KSR2	CD14
M3	KSR2	AHSG
M3	KSR2	STAM2
M3	KSR2	OSBPL10
M3	KSR2	ZNF573
M3	KSR2	PRKACB
M3	KSR2	TMED2
M3	KSR2	NAB1
M3	KSR2	TJP3
M3	KSR2	DNMBP
M3	KSR2	MPV17L
M3	INA	SYTL4
M3	INA	MSRB1
M3	INA	UBE2Q1
M3	INA	PTP4A1
M3	INA	PIM2
M3	INA	COL4A2
M3	INA	XPO6
M3	INA	PTPRZ1
M3	INA	RSL1D1
M3	INA	ZADH2
M3	INA	UMOD
M3	INA	SVIP
M3	INA	RNF6
M3	INA	EPS8L2
M3	INA	HLA-A
M3	INA	PLK2
M3	INA	TRHR
M3	INA	ZNF516
M3	INA	ANP32A
M3	INA	TRIM38
M3	INA	RNF126
M3	INA	EIF3B
M3	INA	EPO
M3	INA	CD302
M3	INA	HNRNPH2
M3	INA	FBXO44
M3	INA	HOXD9
M3	INA	HLA-B
M3	INA	KCNA3
M3	INA	SH3BGRL3
M3	INA	DAPK3
M3	INA	DUSP23
M3	INA	MTA2
M3	INA	MLF2
M3	INA	PATE3
M3	INA	MIF
M3	INA	YIPF3
M3	INA	NPR2
M3	INA	TMEM135
M3	INA	F5
M3	INA	CLTC
M3	INA	USP9Y
M3	INA	ATF6
M3	INA	ECHDC2
M3	INA	PRDX4
M3	AKR1B10	EPHA5
M3	AKR1B10	MPPED1
M3	AKR1B10	GRIN2B
M3	RAB3C	KPNA2
M3	RAB3C	PTP4A1
M3	RAB3C	RAB2A
M3	RAB3C	POLH
M3	RAB3C	DEFB103A
M3	RAB3C	EXOC2
M3	RAB3C	PSMD1
M3	RAB3C	KLHL25
M3	RAB3C	DDAH2
M3	RAB3C	GZMA
M3	RAB3C	TUBD1
M3	RAB3C	ARFIP2
M3	RAB3C	AP5S1
M3	MTUS2	ATP5F1
M3	MTUS2	JUP
M3	MTUS2	PRF1
M3	MTUS2	PTP4A1
M3	MTUS2	GRM7
M3	MTUS2	CSPG4
M3	MTUS2	CRYAA
M3	MTUS2	APBB1IP
M3	MTUS2	SPAG7
M3	MTUS2	HOXD8
M3	MTUS2	NAT10
M3	MTUS2	ZNF2
M3	MTUS2	COX4I2
M3	MTUS2	CYBB
M3	MTUS2	ZNF219
M3	MTUS2	RGCC
M3	MTUS2	TRDN
M3	MTUS2	TMEM126B
M3	MTUS2	MRPL41
M3	MTUS2	PCDHGC3
M3	MTUS2	SLC25A44
M3	MTUS2	GALNT11
M3	MTUS2	FAM210B
M3	MTUS2	AFAP1L1
M3	MTUS2	EGFLAM
M3	MTUS2	MYBPH
M3	MTUS2	CD40
M3	L1CAM	WIF1
M3	L1CAM	CD79A
M3	L1CAM	PTP4A1
M3	L1CAM	MYLIP
M3	L1CAM	STAP2
M3	L1CAM	FIGF
M3	L1CAM	SORBS2
M3	L1CAM	TOP1
M3	L1CAM	ATP11C
M3	L1CAM	KCNH5
M3	L1CAM	FAM193B
M3	L1CAM	SPATA5
M3	L1CAM	MGMT
M3	L1CAM	NKX2-3
M3	L1CAM	FAM213A
M3	L1CAM	MARCH9
M3	KCNAB1	SULT4A1
M3	STMN2	TAPBP
M3	STMN2	FBXO22
M3	STMN2	PPL
M3	STMN2	POLR1D
M3	STMN2	SLC3A2
M3	STMN2	WDR12
M3	STMN2	RBBP8
M3	STMN2	PPAP2B
M3	STMN2	PLEKHG2
M3	STMN2	CD79A
M3	STMN2	TRPV6
M3	STMN2	SGCA
M3	STMN2	PPP2R3B
M3	STMN2	ADRB2
M3	STMN2	ERBB2
M3	STMN2	MSRB1
M3	STMN2	SLC1A1
M3	STMN2	CIZ1
M3	STMN2	KLHDC9
M3	STMN2	PRF1
M3	STMN2	VPS28
M3	STMN2	PTP4A1
M3	STMN2	PRKAB2
M3	STMN2	SIPA1L3
M3	STMN2	TFF3
M3	STMN2	GATA5
M3	STMN2	IL1RAP
M3	STMN2	APBB1IP
M3	STMN2	CD2AP
M3	STMN2	KDM3A
M3	STMN2	DEK
M3	STMN2	DGCR14
M3	STMN2	RAD18
M3	STMN2	TNFSF13
M3	STMN2	PCYOX1
M3	STMN2	EIF4B
M3	STMN2	PLXNA2
M3	STMN2	PIGM
M3	STMN2	CUTA
M3	STMN2	ACTN2
M3	STMN2	SNX21
M3	STMN2	MICALCL
M3	STMN2	HSF4
M3	STMN2	DPYSL4
M3	STMN2	PRPF3
M3	STMN2	CHMP1B
M3	STMN2	SPCS3
M3	STMN2	VEZF1
M3	GSPT1	CDK5R2
M3	LRPPRC	SH3GL2
M3	DYNLT1	NPB
M3	GDA	CDK5
M3	GDA	CD53
M3	GDA	SLC1A1
M3	GDA	PTP4A1
M3	GDA	ISL2
M3	GDA	PTPN13
M3	GDA	PSMB9
M3	GDA	OGG1
M3	GDA	ACVR1
M3	GDA	PAPD7
M3	GDA	CD1E
M3	GDA	IL6ST
M3	GDA	SEZ6
M3	GDA	CD1D
M3	GDA	SERPINB6
M3	GDA	FAM13A
M3	GDA	P2RY11
M3	GDA	TMEM214
M3	GDA	TMEM102
M3	GDA	FBXO31
M3	GDA	TMIGD2
M3	GDA	MTMR1
M3	GDA	SNX15
M3	GDA	POU3F2
M3	GDA	DKC1
M3	GDA	GHR
M3	GDA	PKP2
M3	APEH	CBLN1
M3	NEK8	EPHA5
M3	NEK8	GRM7
M3	WNK2	PTP4A1
M3	WNK2	PRKACG
M3	WNK2	TNFRSF9
M3	WNK2	TREH
M3	WNK2	ELL
M3	WNK2	AEN
M3	WNK2	PAIP2
M3	WNK2	ZNF207
M3	WNK2	CLCN6
M3	WNK2	PYY
M3	MPL	ASIC2
M3	POU2F2	CDH7
M3	OBSL1	CELF3
M3	SLC7A14	RUNX1T1
M3	SLC7A14	CUL2
M3	SLC7A14	TMEM214
M3	SLC7A14	TRIM10
M3	ADRA2A	PTGER3
M3	ADRA2A	TESK1
M3	ADRA2A	C19orf25
M3	ADRA2A	PTP4A1
M3	ADRA2A	ATP6V1H
M3	ADRA2A	STK19
M3	ADRA2A	GSN
M3	ADRA2A	PRMT2
M3	ADRA2A	PCYOX1L
M3	ADRA2A	KDM4A
M3	ADRA2A	MPC2
M3	ADRA2A	ERCC2
M3	ADRA2A	TMEM11
M3	ADRA2A	DOK6
M3	ADRA2A	C6orf118
M3	ADRA2A	EPS8
M3	ADRA2A	EFEMP1
M3	ADRA2A	SNAPC2
M3	ADRA2A	SMYD5
M3	ADRA2A	ATG4D
M3	ADRA2A	IARS2
M3	ADRA2A	ANXA5
M3	ADRA2A	BRI3
M3	ADRA2A	INHBE
M3	ADRA2A	ANO2
M3	ADRA2A	ATP5I
M3	ADRA2A	MDGA2
M3	PPP1CB	CELF3
M3	NR1I2	NEUROD2
M3	NR1I2	NOS1
M3	DEDD2	NEFM
M3	DEDD2	CDK5R2
M3	SNAP25	ARIH1
M3	SNAP25	FOLR3
M3	SNAP25	PLBD1
M3	SNAP25	EPS8L2
M3	SNAP25	CCL27
M3	SNAP25	LONRF2
M3	SNAP25	NBR1
M3	SNAP25	APBA1
M3	SNAP25	MKRN1
M3	SNAP25	MITF
M3	SNAP25	HARS2
M3	SNAP25	STK35
M3	SNAP25	CLCN6
M3	SNAP25	HSPB6
M3	FBXL16	YIPF6
M3	FBXL16	NEK1
M3	FBXL16	ATP5F1
M3	FBXL16	SH3YL1
M3	FBXL16	GRM5
M3	FBXL16	SLC3A2
M3	FBXL16	LRRFIP2
M3	FBXL16	PPP2R3B
M3	FBXL16	HOXA10
M3	FBXL16	PRF1
M3	FBXL16	VPS28
M3	FBXL16	C19orf25
M3	FBXL16	PTP4A1
M3	FBXL16	PRX
M3	FBXL16	TSKS
M3	FBXL16	PTPRU
M3	FBXL16	PXN
M3	FBXL16	AR
M3	FBXL16	AGR2
M3	FBXL16	LDHAL6A
M3	FBXL16	IRF5
M3	FBXL16	SERPINB1
M3	FBXL16	FCER2
M3	FBXL16	NPAS4
M3	FBXL16	RPS16
M3	FBXL16	PAIP2B
M3	FBXL16	ZNF251
M3	FBXL16	RGL4
M3	FBXL16	CLCA1
M3	FBXL16	TRIM3
M3	FBXL16	EIF4E3
M3	FBXL16	SH3GLB1
M3	FBXL16	RAB36
M3	FBXL16	ATP11C
M3	FBXL16	MOSPD2
M3	FBXL16	COX6A2
M3	FBXL16	CCBL1
M3	FBXL16	PEG10
M3	FBXL16	KCNJ12
M3	FBXL16	ALS2
M3	FBXL16	TMEM54
M3	FBXL16	TEX11
M3	FBXL16	SIRPA
M3	ERO1L	CAMK2A
M3	ERO1L	FGF9
M3	RUVBL2	WIF1
M3	RUVBL2	MPPED1
M3	RUVBL2	PPP4R4
M3	WIF1	LRRFIP1
M3	WIF1	RPS21
M3	WIF1	JOSD1
M3	WIF1	SHPRH
M3	WIF1	CRH
M3	WIF1	DNAJB9
M3	WIF1	SRSF9
M3	WIF1	TRIO
M3	WIF1	IL3
M3	WIF1	MED25
M3	WIF1	CRY1
M3	WIF1	PTP4A1
M3	WIF1	LARP1
M3	WIF1	BNIP3L
M3	WIF1	GPS2
M3	WIF1	CHD7
M3	WIF1	VAMP2
M3	WIF1	UTY
M3	WIF1	JMJD1C
M3	WIF1	MAP3K6
M3	WIF1	DBF4
M3	WIF1	GABARAPL1
M3	WIF1	PTS
M3	WIF1	CSRNP1
M3	WIF1	IFIH1
M3	WIF1	WSB2
M3	WIF1	MYO1A
M3	WIF1	MAST2
M3	WIF1	HECTD1
M3	WIF1	EXTL1
M3	WIF1	TRPS1
M3	WIF1	SORBS2
M3	WIF1	SIGLEC9
M3	WIF1	OMP
M3	WIF1	AQP1
M3	WIF1	PLK2
M3	WIF1	ZNF516
M3	WIF1	PCCA
M3	WIF1	CHAF1A
M3	WIF1	CHD2
M3	WIF1	GALNT4
M3	WIF1	CD68
M3	WIF1	GDI1
M3	WIF1	TEAD1
M3	WIF1	PHACTR2
M3	WIF1	MROH6
M3	WIF1	JAKMIP2
M3	WIF1	CNDP1
M3	WIF1	TIMM21
M3	WIF1	ICA1
M3	WIF1	WT1
M3	WIF1	DGKA
M3	WIF1	TPD52L1
M3	WIF1	PCOLCE
M3	WIF1	CDC42EP1
M3	WIF1	SATB2
M3	WIF1	FAIM
M3	WIF1	CCDC67
M3	WIF1	HSP90AB1
M3	WIF1	SIT1
M3	WIF1	G2E3
M3	WIF1	FBXL12
M3	WIF1	MGMT
M3	WIF1	ENTHD2
M3	WIF1	PARP2
M3	WIF1	AFAP1L1
M3	WIF1	FAM213A
M3	WIF1	ZBTB6
M3	WIF1	NIPSNAP1
M3	WIF1	HS3ST1
M3	WIF1	PLCD1
M3	WIF1	LEPROTL1
M3	WIF1	UBE2QL1
M3	WIF1	ESR2
M3	GRM4	GRIK1
M3	GRM4	COL4A1
M3	GRM4	UBE2L6
M3	GRM4	PTP4A1
M3	GRM4	TBC1D4
M3	GRM4	MLPH
M3	GRM4	SPTLC2
M3	GRM4	CDK5R2
M3	GRM4	PECR
M3	GRM4	POLD2
M3	GRM4	SORCS3
M3	GRM4	GRPEL1
M3	GRM4	EPS8L2
M3	GRM4	MMRN2
M3	GRM4	TBCE
M3	GRM4	CARD11
M3	GRM4	FXYD1
M3	GRM4	SYT9
M3	GRM4	ZNF383
M3	GRM4	IFT81
M3	GRM4	SH3BGRL3
M3	GRM4	AGTRAP
M3	GRM4	ATP6V0A1
M3	GRM4	TNNC1
M3	GRM4	IFNGR2
M3	GRM4	CBX2
M3	GRM4	PSMD10
M3	GRM4	JKAMP
M3	GRM4	LRRC4
M3	GRM4	SRM
M3	GRM4	TIRAP
M3	GRM4	MTMR14
M3	GRM4	LCA5L
M3	GRM4	SPINK13
M3	GRM4	MYH10
M3	GRM4	RUVBL1
M3	GRM4	THAP7
M3	GRM4	NBR1
M3	GRM4	METTL4
M3	GRM4	RPS6KA4
M3	GRM4	SNAPC2
M3	GRM4	VRK3
M3	GRM4	SPTBN1
M3	GRM4	CCDC158
M3	GRM4	RPS9
M3	GRM4	TANGO2
M3	GRM4	DNAJB14
M3	GRM4	UACA
M3	GRM4	MTMR1
M3	GRM4	C1QC
M3	GRM4	CHORDC1
M3	GRM4	NRCAM
M3	GRM4	SAA1
M3	GRM4	LCP2
M3	GRM4	ZNF785
M3	GRM4	HEATR1
M3	GRM4	ISCU
M3	GRM4	SECTM1
M3	GRM4	MAF
M3	SDC4	GRIN1
M3	GPI	CLEC2L
M3	GPI	SHANK1
M3	NPB	RPS27L
M3	NPB	PPFIA2
M3	NPB	CDKN2A
M3	NPB	KLHL32
M3	NPB	PTGDS
M3	NPB	GALC
M3	NPB	SLC1A1
M3	NPB	PTP4A1
M3	NPB	SERPINF1
M3	NPB	CAMK2B
M3	NPB	SLC9A6
M3	NPB	NFATC1
M3	NPB	RAPGEF6
M3	NPB	WNT5B
M3	NPB	MYF6
M3	RAD54L	EPHA5
M3	RAD54L	PRDM8
M3	FANCB	CPNE7
M3	NOS3	CKMT1A
M3	STK24	KHDRBS2
M3	RNF182	CHRM2
M3	RNF182	MPPED1
M3	FKBP7	KHDRBS2
M3	FKBP7	MPPED1
M3	FKBP7	CAMKV
M3	C14orf1	CAMSAP3
M3	LRRFIP1	GRM1
M3	LRRFIP1	TRHDE
M3	LRRFIP1	PRDM8
M3	RFX5	PTPRN
M3	NEUROD2	RRAGA
M3	NEUROD2	MPPED1
M3	NEUROD2	TFDP1
M3	NEUROD2	PRLR
M3	NEUROD2	RAMP1
M3	NEUROD2	RAB13
M3	NEUROD2	CLASP2
M3	NEUROD2	FOLR3
M3	NEUROD2	OGG1
M3	NEUROD2	SH3GL2
M3	NEUROD2	SAPCD1
M3	NEUROD2	FBXO43
M3	NEUROD2	ARHGAP10
M3	NEUROD2	RNF187
M3	NEUROD2	MAGEL2
M3	NEUROD2	TMEM207
M3	NEUROD2	IL37
M3	NEUROD2	AP5S1
M3	NEUROD2	DENND2A
M3	NEUROD2	SPG7
M3	NEUROD2	TSSK4
M3	NEUROD2	SASH1
M3	NEUROD2	LTBP3
M3	NEUROD2	FXR1
M3	NEUROD2	SMAD1
M3	MUC2	CBLN1
M3	ARHGAP36	TTLL5
M3	ARHGAP36	FYCO1
M3	ARHGAP36	SYTL4
M3	ARHGAP36	POU1F1
M3	ARHGAP36	NPAS4
M3	ARHGAP36	WDR83
M3	ARHGAP36	SNRPB2
M3	ARHGAP36	CEP97
M3	ARHGAP36	XK
M3	ARHGAP36	MUSTN1
M3	ARHGAP36	RBM10
M3	ARHGAP36	BGN
M3	ARHGAP36	NANOG
M3	ARHGAP36	UMOD
M3	ARHGAP36	HIST1H3H
M3	ARHGAP36	EVC2
M3	ARHGAP36	DSN1
M3	ARHGAP36	IL9R
M3	ARHGAP36	BAIAP2L1
M3	ARHGAP36	PPP1R3G
M3	ARHGAP36	SNX5
M3	ARHGAP36	COMMD8
M3	ARHGAP36	PAX1
M3	ARHGAP36	SAV1
M3	ARHGAP36	GDPGP1
M3	ARHGAP36	SEPT2
M3	ARHGAP36	INIP
M3	ARHGAP36	TYMP
M3	ARHGAP36	ZNF518B
M3	ARHGAP36	MYD88
M3	ARHGAP36	RPLP2
M3	ARHGAP36	EME2
M3	SNCB	NDUFS1
M3	SNCB	ARL13A
M3	SNCB	TBCE
M3	SNCB	KDM5D
M3	SNCB	PXMP4
M3	SNCB	FEM1B
M3	SNCB	GNAT1
M3	SNCB	TNFRSF9
M3	SNCB	TUB
M3	SNCB	C4orf32
M3	SNCB	PPM1E
M3	SNCB	CSRP1
M3	SNCB	CABP1
M3	SNCB	ZNF573
M3	SNCB	SNAP23
M3	SNCB	PDE1C
M3	SNCB	MAK16
M3	SNCB	ATF6
M3	GABRG2	PTP4A1
M3	GABRG2	RAB13
M3	GABRG2	SORBS2
M3	GABRG2	ZNF383
M3	GABRG2	DUSP19
M3	GABRG2	PLAGL1
M3	GABRG2	NIF3L1
M3	GABRG2	RAB14
M3	GABRG2	USP3
M3	GABRG2	NT5DC1
M3	GABRG2	PGC
M3	GABRG2	COPS2
M3	GABRG2	BNIP3
M3	GABRG2	FAM213A
M3	GABRG2	ACAP3
M3	GABRG2	TNPO1
M3	LIN52	RSPO4
M3	LIN52	CPNE7
M3	GIT1	CDH7
M3	INSR	CELF3
M3	EPHA5	RPL10L
M3	EPHA5	EDARADD
M3	EPHA5	APOA4
M3	EPHA5	PIP5K1B
M3	EPHA5	POLN
M3	EPHA5	NAA16
M3	EPHA5	MED30
M3	EPHA5	PHACTR4
M3	EPHA5	ZCCHC11
M3	EPHA5	RBBP8
M3	EPHA5	TTF1
M3	EPHA5	FABP1
M3	EPHA5	TSSK2
M3	EPHA5	BMPR1B
M3	EPHA5	KISS1R
M3	EPHA5	MYO5A
M3	EPHA5	AHRR
M3	EPHA5	CIZ1
M3	EPHA5	CBLL1
M3	EPHA5	PTP4A1
M3	EPHA5	ITGB3
M3	EPHA5	KIF21B
M3	EPHA5	S100A13
M3	EPHA5	FOLR3
M3	EPHA5	TWSG1
M3	EPHA5	DDOST
M3	EPHA5	RGS5
M3	EPHA5	SLC7A5
M3	EPHA5	TRAPPC8
M3	EPHA5	LSM10
M3	EPHA5	MRPS14
M3	EPHA5	SYT7
M3	EPHA5	SCARB1
M3	EPHA5	FCRL4
M3	EPHA5	ZNF467
M3	EPHA5	TPTE2
M3	EPHA5	ENTHD2
M3	EPHA5	SPG7
M3	EPHA5	TUB
M3	EPHA5	PCDHB4
M3	EPHA5	ODC1
